Area,Lat,Lon
Silk Board,12.920214529444593,77.61961965319624
Silk Board,12.917831830837567,77.62024447644431
Silk Board,12.913631961195627,77.6224049579406
Silk Board,12.914333366480891,77.62051781978192
Silk Board,12.915875545798695,77.62089388400743
Silk Board,12.913575912974059,77.6191991624486
Silk Board,12.914632494152341,77.61880559187959
Silk Board,12.918964570196769,77.62117326716509
Silk Board,12.91549745967769,77.62161998294238
Silk Board,12.919327962742097,77.62700633881484
Silk Board,12.920290869325557,77.62557529230226
Silk Board,12.917543911856008,77.62523805556967
Silk Board,12.918227623680336,77.62046250528186
Silk Board,12.91478588367741,77.62126392006876
Silk Board,12.921808026709698,77.6237741484038
Whitefield,12.972139053770018,77.74846558759816
Whitefield,12.968877157706652,77.74625565578637
Whitefield,12.966512949578217,77.75327356554826
Whitefield,12.970648386316888,77.74837532465884
Whitefield,12.972828512089954,77.74746519905638
Whitefield,12.974560326986001,77.74844817607746
Whitefield,12.968173109541512,77.74811911905536
Whitefield,12.966021115159242,77.74611137147332
Whitefield,12.97128105034534,77.75375118044558
Whitefield,12.972705205102717,77.74641107594022
Whitefield,12.97025582121792,77.74605591545976
Whitefield,12.96525294643613,77.75156385859385
Whitefield,12.970151523336803,77.74582023685211
Whitefield,12.96514939246406,77.7548975641341
Whitefield,12.96510021332149,77.7494452825305
Indiranagar,12.971946190246078,77.63737280147801
Indiranagar,12.968590617784397,77.6397180500641
Indiranagar,12.974516758762137,77.6412708242406
Indiranagar,12.97327901874553,77.6460517455509
Indiranagar,12.974580054353131,77.64054361498141
Indiranagar,12.971364419217965,77.6423877207704
Indiranagar,12.973553652084188,77.64120710925836
Indiranagar,12.973348612228149,77.63643532494415
Indiranagar,12.971196228638968,77.63898938076073
Indiranagar,12.968191744452431,77.63719546512809
Indiranagar,12.972931921656146,77.64143600547152
Indiranagar,12.969435841169963,77.64090950058772
Indiranagar,12.971822323151823,77.63815008980438
Indiranagar,12.973420930618817,77.64400919356386
Indiranagar,12.974814635408896,77.64222469830703
Electronic City,12.84531638582519,77.65581007143005
Electronic City,12.843078312988517,77.65613271446779
Electronic City,12.849838231608786,77.65655080146226
Electronic City,12.84171775409851,77.66409576618331
Electronic City,12.849639282834765,77.66285829039235
Electronic City,12.840254049236727,77.65521346270957
Electronic City,12.843981007697876,77.65663395370011
Electronic City,12.840383861421516,77.65984066689404
Electronic City,12.84963061897407,77.65843819574903
Electronic City,12.846811406784287,77.66172235353133
Electronic City,12.842710801036652,77.66170425248824
Electronic City,12.842323339742869,77.65642007413577
Electronic City,12.847213832855598,77.65633440817105
Electronic City,12.850169092185894,77.65703452401151
Electronic City,12.846141418627564,77.65931374571413
Marathahalli,12.955463864224056,77.69267843907578
Marathahalli,12.960427322822927,77.70046757563789
Marathahalli,12.962620156615067,77.69722713473077
Marathahalli,12.961974554671823,77.69912847133489
Marathahalli,12.961442545274991,77.69732599005222
Marathahalli,12.960534117402421,77.70045525913577
Marathahalli,12.958178841755569,77.70045978900868
Marathahalli,12.96012016842789,77.6940590102437
Marathahalli,12.954446841572246,77.696027536004
Marathahalli,12.959666963282963,77.70079820352204
Marathahalli,12.955474856801402,77.70040206347684
Marathahalli,12.962830090460672,77.69390687487001
Marathahalli,12.962715943193041,77.70231453567843
Marathahalli,12.961468388310482,77.70024769681825
Marathahalli,12.964144152675589,77.69845481250526
MG Road,12.972278863820161,77.60667530834077
MG Road,12.975344857775116,77.60411195423721
MG Road,12.97173635555514,77.60586334269583
MG Road,12.9700166727586,77.60754287070795
MG Road,12.972458234607705,77.5995777465279
MG Road,12.973623665331024,77.59872469909257
MG Road,12.976046261942649,77.60732705510446
MG Road,12.977572630071386,77.59957369473449
MG Road,12.970462711371077,77.60643434482324
MG Road,12.97844254274603,77.60290669829834
MG Road,12.974189711169137,77.60148262041386
MG Road,12.978142651182564,77.60474902905293
MG Road,12.972082515771673,77.60128782871055
MG Road,12.978112000730636,77.59843634023906
MG Road,12.972427265727266,77.60384356681217
JP Nagar,12.904182174620994,77.58182098754199
JP Nagar,12.910852763310906,77.58984404388649
JP Nagar,12.910936064207982,77.58988787889737
JP Nagar,12.908231119710583,77.5890225812099
JP Nagar,12.906540426383911,77.58756267861479
JP Nagar,12.912588355313892,77.58315727723839
JP Nagar,12.906598997462911,77.5857004737731
JP Nagar,12.9040801548702,77.58171038610465
JP Nagar,12.910997228663216,77.59066794372828
JP Nagar,12.906747250638297,77.58177649836195
JP Nagar,12.903358117606906,77.5898131820636
JP Nagar,12.907338142497277,77.58410027316562
JP Nagar,12.907464612712394,77.58408304094692
JP Nagar,12.907590357753076,77.58949556396918
JP Nagar,12.90862301371062,77.5878465377281
Bellandur,12.929046706762344,77.6807850587851
Bellandur,12.932066170848794,77.67459561997752
Bellandur,12.931126428531156,77.6759674349631
Bellandur,12.933440956696337,77.67765937708467
Bellandur,12.935346841651965,77.67432500437938
Bellandur,12.933203478627401,77.68013701733541
Bellandur,12.933074988305908,77.6764752979549
Bellandur,12.930320544893824,77.68136508519723
Bellandur,12.927725413316209,77.67566033196788
Bellandur,12.93091050953295,77.67863563579529
Bellandur,12.92822262470413,77.67638075650524
Bellandur,12.928178451632066,77.68111512061998
Bellandur,12.931919008655624,77.6817241718341
Bellandur,12.935154730283141,77.67814164296271
Bellandur,12.926066938814055,77.67388092310412
